"","Species","Natural_Resident","Introduced","Endemic","Likely"
"1","Ascaphus montanus Mittleman and Myers, 1949","Canada, United States of America, United States of America - Idaho, United States of America - Montana, United States of America - Oregon, United States of America - Washington","","",""
"2","Ascaphus truei Stejneger, 1899","Canada, United States of America, United States of America - California, United States of America - Oregon, United States of America - Washington","","",""
"3","Craugastor augusti (Dugès, 1879)","Mexico, United States of America, United States of America - Arizona, United States of America - New Mexico, United States of America - Texas","","",""
"4","Eleutherodactylus campi (Stejneger, 1915)","Mexico, United States of America, United States of America - Texas","United States of America, United States of America - Alabama, United States of America - Louisiana, United States of America - Texas","",""
"5","Eleutherodactylus coqui Thomas, 1966","Puerto Rico","Costa Rica, United States of America, United States of America - Florida, United States of America - Hawaii, United States of America - Louisiana, Virgin Islands, U.S.","Puerto Rico",""
"6","Eleutherodactylus guttilatus (Cope, 1879)","Mexico, United States of America, United States of America - Texas","","",""
"7","Eleutherodactylus marnockii (Cope, 1878)","United States of America, United States of America - Texas","","United States of America, United States of America - Texas",""
"8","Eleutherodactylus planirostris (Cope, 1862)","Bahamas, Cayman Islands, Cuba","China, People's Republic of, Colombia, Costa Rica, El Salvador, Grenada, Guam, Honduras, Jamaica, Mexico, Nicaragua, Nigeria, Philippines, Saint Barthélemy, Saint Vincent and the Grenadines, Saint-Martin/Sint Maarten, Singapore, Suriname, Turks and Caicos Islands, United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Hawaii, United States of America - Louisiana, United States of America - Mississippi, United States of America - South Carolina, United States of America - Texas","",""
"9","Anaxyrus americanus (Holbrook, 1836)","Canada, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Mississippi, United States of America - Missouri, United States of America - Nebraska, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - North Dakota, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - South Dakota, United States of America - Tennessee, United States of America - Texas, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia, United States of America - Wisconsin","","",""
"10","Anaxyrus baxteri (Porter, 1968)","United States of America, United States of America - Wyoming","","United States of America, United States of America - Wyoming",""
"11","Anaxyrus boreas (Baird and Girard, 1852)","Canada, Mexico, United States of America, United States of America - Alaska, United States of America - California, United States of America - Colorado, United States of America - Idaho, United States of America - Montana, United States of America - Nevada, United States of America - New Mexico, United States of America - Oregon, United States of America - Utah, United States of America - Washington, United States of America - Wyoming","","",""
"12","Anaxyrus californicus (Camp, 1915)","Mexico, United States of America, United States of America - California","","",""
"13","Anaxyrus canorus (Camp, 1916)","United States of America, United States of America - California","","United States of America, United States of America - California",""
"14","Anaxyrus cognatus (Say, 1822)","Canada, Mexico, United States of America, United States of America - Arizona, United States of America - California, United States of America - Colorado, United States of America - Iowa, United States of America - Kansas, United States of America - Minnesota, United States of America - Missouri, United States of America - Montana, United States of America - Nebraska, United States of America - Nevada, United States of America - New Mexico, United States of America - North Dakota, United States of America - Oklahoma, United States of America - South Dakota, United States of America - Texas, United States of America - Utah, United States of America - Wyoming","","",""
"15","Anaxyrus debilis (Girard, 1854)","Mexico, United States of America, United States of America - Arizona, United States of America - Colorado, United States of America - Kansas, United States of America - New Mexico, United States of America - Oklahoma, United States of America - Texas","","",""
"16","Anaxyrus exsul (Myers, 1942)","United States of America, United States of America - California","","United States of America, United States of America - California",""
