"","Species","Natural_Resident","Introduced","Endemic","Likely"
"1","Ascaphus montanus Mittleman and Myers, 1949","Canada, United States of America, United States of America - Idaho, United States of America - Montana, United States of America - Oregon, United States of America - Washington","","",""
"2","Ascaphus truei Stejneger, 1899","Canada, United States of America, United States of America - California, United States of America - Oregon, United States of America - Washington","","",""
"3","Anaxyrus americanus (Holbrook, 1836)","Canada, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Mississippi, United States of America - Missouri, United States of America - Nebraska, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - North Dakota, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - South Dakota, United States of America - Tennessee, United States of America - Texas, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia, United States of America - Wisconsin","","",""
"4","Anaxyrus boreas (Baird and Girard, 1852)","Canada, Mexico, United States of America, United States of America - Alaska, United States of America - California, United States of America - Colorado, United States of America - Idaho, United States of America - Montana, United States of America - Nevada, United States of America - New Mexico, United States of America - Oregon, United States of America - Utah, United States of America - Washington, United States of America - Wyoming","","",""
"5","Anaxyrus cognatus (Say, 1822)","Canada, Mexico, United States of America, United States of America - Arizona, United States of America - California, United States of America - Colorado, United States of America - Iowa, United States of America - Kansas, United States of America - Minnesota, United States of America - Missouri, United States of America - Montana, United States of America - Nebraska, United States of America - Nevada, United States of America - New Mexico, United States of America - North Dakota, United States of America - Oklahoma, United States of America - South Dakota, United States of America - Texas, United States of America - Utah, United States of America - Wyoming","","",""
"6","Anaxyrus hemiophrys (Cope, 1886)","Canada, United States of America, United States of America - Minnesota, United States of America - Montana, United States of America - North Dakota, United States of America - South Dakota","","",""
"7","Acris blanchardi Harper, 1947","Canada, Mexico, United States of America, United States of America - Arkansas, United States of America - Colorado, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Michigan, United States of America - Minnesota, United States of America - Missouri, United States of America - Nebraska, United States of America - New Mexico, United States of America - Ohio, United States of America - Oklahoma, United States of America - South Dakota, United States of America - Texas, United States of America - West Virginia, United States of America - Wisconsin","","",""
"8","Dryophytes chrysoscelis (Cope, 1880)","Canada, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Mississippi, United States of America - Missouri, United States of America - Nebraska, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - North Dakota, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - South Dakota, United States of America - Tennessee, United States of America - Texas, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia, United States of America - Wisconsin","","",""
"9","Dryophytes versicolor (LeConte, 1825)","Canada, United States of America, United States of America - Arkansas, United States of America - Connecticut, United States of America - Delaware, United States of America - District of Columbia, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Missouri, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - Tennessee, United States of America - Texas, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia, United States of America - Wisconsin","","",""
"10","Pseudacris crucifer (Wied-Neuwied, 1838)","Canada, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Connecticut, United States of America - District of Columbia, United States of America - Florida, United States of America - Georgia, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Maine, United States of America - Maryland, United States of America - Massachusetts, United States of America - Michigan, United States of America - Minnesota, United States of America - Mississippi, United States of America - Missouri, United States of America - New Hampshire, United States of America - New Jersey, United States of America - New York, United States of America - North Carolina, United States of America - Ohio, United States of America - Oklahoma, United States of America - Pennsylvania, United States of America - Rhode Island, United States of America - South Carolina, United States of America - South Dakota, United States of America - Tennessee, United States of America - Texas, United States of America - Vermont, United States of America - Virginia, United States of America - West Virginia, United States of America - Wisconsin","Cuba","",""
