Resident,Introduced,Location
Alytes dickhilleni,Alytes obstetricans,['Spain']
Alytes muletensis,Alytes obstetricans,['Spain']
Ambystoma californiense,Ambystoma mavortium,[' United States of America - California']
Ambystoma gracile,Ambystoma mavortium,"[' United States of America - California', ' United States of America - Oregon', ' United States of America - Washington']"
Ambystoma macrodactylum,Ambystoma mavortium,"[' United States of America - California', ' United States of America - Oregon', ' United States of America - Washington']"
Ambystoma mavortium,Ambystoma mavortium,"[' United States of America - Nevada', ' United States of America - Oregon', ' United States of America - Washington']"
Andrias japonicus,Andrias sligoi,['Japan']
Aquarana catesbeiana,Aquarana catesbeiana,"[' United States of America', ' United States of America - Iowa', ' United States of America - Minnesota', ' United States of America - New Mexico']"
Aquarana catesbeiana,Aquarana clamitans,"['Canada', ' United States of America - Iowa']"
Aquarana clamitans,Aquarana catesbeiana,"[' United States of America', ' United States of America - Iowa', ' United States of America - Minnesota']"
Aquarana clamitans,Aquarana clamitans,"['Canada', ' United States of America - Iowa']"
Aquarana septentrionalis,Aquarana catesbeiana,"[' United States of America', ' United States of America - Minnesota']"
Aquarana septentrionalis,Aquarana clamitans,['Canada']
Bufo formosus,Bufo formosus,['Japan']
Bufo formosus,Bufo gargarizans,['Japan']
Bufo praetextatus,Bufo formosus,['Japan']
Bufo praetextatus,Bufo gargarizans,['Japan']
Bufo torrenticola,Bufo formosus,['Japan']
Bufo torrenticola,Bufo gargarizans,['Japan']
Discoglossus galganoi,Discoglossus pictus,[' Spain']
Discoglossus montalentii,Discoglossus pictus,['France']
Discoglossus sardus,Discoglossus pictus,['France']
Discoglossus scovazzi,Discoglossus pictus,[' Spain']
Dryophytes arenicolor,Dryophytes cinereus,[' United States of America - Texas']
Dryophytes avivoca,Dryophytes cinereus,[' United States of America - Missouri']
Dryophytes chrysoscelis,Dryophytes cinereus,"[' United States of America - Missouri', ' United States of America - Texas']"
Dryophytes cinereus,Dryophytes cinereus,"[' United States of America - Missouri', ' United States of America - Texas']"
Dryophytes squirellus,Dryophytes cinereus,[' United States of America - Texas']
Dryophytes versicolor,Dryophytes cinereus,"[' United States of America - Missouri', ' United States of America - Texas']"
Duttaphrynus melanostictus,Duttaphrynus melanostictus,[' Indonesia']
Eleutherodactylus antillensis,Eleutherodactylus coqui,"[' Virgin Islands', ' U.S.']"
Eleutherodactylus antillensis,Eleutherodactylus johnstonei,"[' Virgin Islands', ' British', ' U.S.']"
Eleutherodactylus campi,Eleutherodactylus campi,[' United States of America - Texas']
Eleutherodactylus campi,Eleutherodactylus coqui,[' United States of America']
Eleutherodactylus campi,Eleutherodactylus planirostris,"[' United States of America', ' United States of America - Texas']"
Eleutherodactylus cochranae,Eleutherodactylus coqui,"[' Virgin Islands', ' U.S.']"
Eleutherodactylus cochranae,Eleutherodactylus johnstonei,"[' Virgin Islands', ' British', ' U.S.']"
Eleutherodactylus guttilatus,Eleutherodactylus campi,[' United States of America - Texas']
Eleutherodactylus guttilatus,Eleutherodactylus coqui,[' United States of America']
Eleutherodactylus guttilatus,Eleutherodactylus planirostris,"[' United States of America', ' United States of America - Texas']"
Eleutherodactylus johnstonei,Eleutherodactylus martinicensis,['Antigua and Barbuda']
Eleutherodactylus lentus,Eleutherodactylus coqui,"[' Virgin Islands', ' U.S.']"
Eleutherodactylus lentus,Eleutherodactylus johnstonei,"[' British', ' Virgin Islands', ' U.S.']"
Eleutherodactylus leprus,Eleutherodactylus planirostris,[' Mexico']
Eleutherodactylus marnockii,Eleutherodactylus campi,[' United States of America - Texas']
Eleutherodactylus marnockii,Eleutherodactylus planirostris,[' United States of America - Texas']
Eleutherodactylus martinicensis,Eleutherodactylus johnstonei,[' Martinique']
Eleutherodactylus pipilans,Eleutherodactylus planirostris,[' Mexico']
Eleutherodactylus rubrimaculatus,Eleutherodactylus planirostris,[' Mexico']
Eleutherodactylus schwartzi,Eleutherodactylus coqui,"[' Virgin Islands', ' U.S.']"
Eleutherodactylus schwartzi,Eleutherodactylus johnstonei,"[' British', ' Virgin Islands', ' U.S.']"
Fejervarya cancrivora,Fejervarya cancrivora,[' Indonesia']
Fejervarya iskandari,Fejervarya cancrivora,[' Indonesia']
Fejervarya limnocharis,Fejervarya cancrivora,[' Indonesia']
Fejervarya moodiei,Fejervarya cancrivora,[' Philippines']
Fejervarya sakishimensis,Fejervarya kawamurai,['Japan']
Fejervarya verruculosa,Fejervarya cancrivora,[' Indonesia']
Hoplobatrachus chinensis,Hoplobatrachus chinensis,[' Malaysia']
Hyla arborea,Hyla orientalis,[' Netherlands']
Hylarana arfaki,Hylarana erythraea,"['Indonesia', ' Indonesia - Papua Region']"
Hylarana aurata,Hylarana erythraea,"['Indonesia', ' Indonesia - Papua Region']"
Hylarana baramica,Hylarana guentheri,[' Singapore']
Hylarana celebensis,Hylarana erythraea,['Indonesia']
Hylarana centropeninsularis,Hylarana erythraea,['Indonesia']
Hylarana chalconota,Hylarana erythraea,['Indonesia']
Hylarana daemeli,Hylarana erythraea,[' Indonesia - Papua Region']
Hylarana debussyi,Hylarana erythraea,['Indonesia']
Hylarana decorata,Hylarana erythraea,['Indonesia']
Hylarana erythraea,Hylarana guentheri,[' Singapore']
Hylarana fantastica,Hylarana erythraea,['Indonesia']
Hylarana florensis,Hylarana erythraea,['Indonesia']
Hylarana garritor,Hylarana erythraea,"['Indonesia', ' Indonesia - Papua Region']"
Hylarana grisea,Hylarana erythraea,"['Indonesia', ' Indonesia - Papua Region']"
Hylarana jimiensis,Hylarana erythraea,"['Indonesia', ' Indonesia - Papua Region']"
Hylarana labialis,Hylarana guentheri,[' Singapore']
Hylarana laterimaculata,Hylarana erythraea,['Indonesia']
Hylarana laterimaculata,Hylarana guentheri,[' Singapore']
Hylarana luctuosa,Hylarana erythraea,['Indonesia']
Hylarana macrops,Hylarana erythraea,['Indonesia']
Hylarana megalonesa,Hylarana erythraea,['Indonesia']
Hylarana mocquardii,Hylarana erythraea,['Indonesia']
Hylarana moluccana,Hylarana erythraea,['Indonesia']
Hylarana nicobariensis,Hylarana erythraea,[' Philippines']
Hylarana nigroverrucosa,Hylarana erythraea,['Indonesia']
Hylarana novaeguineae,Hylarana erythraea,"['Indonesia', ' Indonesia - Papua Region']"
Hylarana papua,Hylarana erythraea,"['Indonesia', ' Indonesia - Papua Region']"
Hylarana parvaccola,Hylarana erythraea,['Indonesia']
Hylarana persimilis,Hylarana erythraea,['Indonesia']
Hylarana rawa,Hylarana erythraea,['Indonesia']
Hylarana rufipes,Hylarana erythraea,['Indonesia']
Hylarana siberu,Hylarana erythraea,['Indonesia']
Hylarana sundabarat,Hylarana erythraea,['Indonesia']
Hylarana supragrisea,Hylarana erythraea,"['Indonesia', ' Indonesia - Papua Region']"
Hylarana volkerjane,Hylarana erythraea,"['Indonesia', ' Indonesia - Papua Region']"
Ingerophrynus biporcatus,Ingerophrynus biporcatus,['Indonesia']
Ingerophrynus celebensis,Ingerophrynus biporcatus,['Indonesia']
Ingerophrynus claviger,Ingerophrynus biporcatus,['Indonesia']
