Introduced,Resident,Location
Alytes obstetricans,"['Alytes almogavarii', 'Alytes cisternasii', 'Alytes dickhilleni', 'Alytes muletensis']","[['Spain'], ['Spain'], ['Spain'], ['Spain']]"
Ambystoma mavortium,"['Ambystoma gracile', 'Ambystoma macrodactylum', 'Ambystoma californiense']","[['United States of America - California', 'United States of America - Oregon', 'United States of America - Washington'], ['United States of America - California', 'United States of America - Oregon', 'United States of America - Washington'], ['United States of America - California']]"
Andrias sligoi,['Andrias japonicus'],[['Japan']]
Aquarana catesbeiana,"['Aquarana clamitans', 'Aquarana septentrionalis']","[['United States of America - Iowa', 'United States of America - Minnesota'], ['United States of America - Minnesota']]"
Aquarana clamitans,"['Aquarana catesbeiana', 'Aquarana septentrionalis']","[['Canada', 'United States of America - Iowa'], ['Canada']]"
Batrachoseps major,"['Batrachoseps altasierrae', 'Batrachoseps aridus', 'Batrachoseps attenuatus', 'Batrachoseps bramei', 'Batrachoseps campi', 'Batrachoseps diabolicus', 'Batrachoseps gabrieli', 'Batrachoseps gavilanensis', 'Batrachoseps gregarius', 'Batrachoseps incognitus', 'Batrachoseps kawia', 'Batrachoseps luciae', 'Batrachoseps minor', 'Batrachoseps nigriventris', 'Batrachoseps pacificus', 'Batrachoseps regius', 'Batrachoseps relictus', 'Batrachoseps robustus', 'Batrachoseps simatus', 'Batrachoseps stebbinsi', 'Batrachoseps wakei']","[['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California'], ['United States of America - California']]"
Bombina bombina,['Bombina variegata'],[['France']]
Bufo bufo,['Bufo spinosus'],[['Italy']]
Bufo formosus,"['Bufo praetextatus', 'Bufo torrenticola']","[['Japan'], ['Japan']]"
Bufo gargarizans,"['Bufo formosus', 'Bufo praetextatus', 'Bufo torrenticola']","[['Japan'], ['Japan'], ['Japan']]"
Desmognathus monticola,['Desmognathus brimleyorum'],[['United States of America - Arkansas']]
