"","Species","Natural_Resident","Introduced","Endemic","Likely"
"1","Craugastor alfredi (Boulenger, 1898)","Guatemala, Mexico","","",""
"2","Craugastor amniscola (Campbell and Savage, 2000)","Guatemala, Mexico","","",""
"3","Craugastor augusti (Dugès, 1879)","Mexico, United States of America, United States of America - Arizona, United States of America - New Mexico, United States of America - Texas","","",""
"4","Craugastor batrachylus (Taylor, 1940)","Mexico","","Mexico",""
"5","Craugastor berkenbuschii (Peters, 1870)","Mexico","","Mexico",""
"6","Craugastor bitonium Jameson, Streicher, Manuelli, Head, and Smith, 2022","Mexico","","Mexico",""
"7","Craugastor brocchi (Boulenger, 1882)","Guatemala, Mexico","","",""
"8","Craugastor candelariensis Jameson, Streicher, Manuelli, Head, and Smith, 2022","Mexico","","Mexico",""
"9","Craugastor cueyatl Jameson, Streicher, Manuelli, Head, and Smith, 2022","Mexico","","Mexico",""
"10","Craugastor decoratus (Taylor, 1942)","Mexico","","Mexico",""
"11","Craugastor galacticorhinus (Canseco-Márquez and Smith, 2004)","Mexico","","Mexico",""
"12","Craugastor greggi (Bumzahem, 1955)","Guatemala, Mexico","","",""
"13","Craugastor guerreroensis (Lynch, 1967)","Mexico","","Mexico",""
"14","Craugastor hobartsmithi (Taylor, 1937)","Mexico","","Mexico",""
"15","Craugastor laticeps (Duméril, 1853)","Belize, Guatemala, Honduras, Mexico","","",""
"16","Craugastor lineatus (Brocchi, 1879)","Guatemala, Mexico","","",""
"17","Craugastor loki (Shannon and Werler, 1955)","Belize, El Salvador, Guatemala, Honduras, Mexico","","",""
"18","Craugastor matudai (Taylor, 1941)","Guatemala, Mexico","","",""
"19","Craugastor megalotympanum (Shannon and Werler, 1955)","Mexico","","Mexico",""
"20","Craugastor mexicanus (Brocchi, 1877)","Mexico","","Mexico",""
"21","Craugastor montanus (Taylor, 1942)","Guatemala, Mexico","","",""
"22","Craugastor occidentalis (Taylor, 1941)","Mexico","","Mexico",""
"23","Craugastor omiltemanus (Günther, 1900)","Mexico","","Mexico",""
"24","Craugastor palenque (Campbell and Savage, 2000)","Guatemala, Mexico","","",""
"25","Craugastor pelorus (Campbell and Savage, 2000)","Mexico","","Mexico",""
"26","Craugastor polaclavus Jameson, Streicher, Manuelli, Head, and Smith, 2022","Mexico","","Mexico",""
"27","Craugastor polymniae (Campbell, Lamar, and Hillis, 1989)","Mexico","","Mexico",""
"28","Craugastor portilloensis Jameson, Streicher, Manuelli, Head, and Smith, 2022","Mexico","","Mexico",""
"29","Craugastor pozo (Johnson and Savage, 1995)","Mexico","","Mexico",""
"30","Craugastor psephosypharus (Campbell, Savage, and Meyer, 1994)","Belize, Guatemala, Mexico","","","NA"
"31","Craugastor pygmaeus (Taylor, 1937)","Guatemala, Mexico","","",""
"32","Craugastor rhodopis (Cope, 1867)","Mexico","","Mexico",""
"33","Craugastor rubinus Jameson, Streicher, Manuelli, Head, and Smith, 2022","Mexico","","Mexico",""
"34","Craugastor rugulosus (Cope, 1870)","Mexico","","Mexico",""
"35","Craugastor rupinius (Campbell and Savage, 2000)","El Salvador, Guatemala, Honduras, Mexico","","",""
"36","Craugastor saltator (Taylor, 1941)","Mexico","","Mexico",""
"37","Craugastor silvicola (Lynch, 1967)","Mexico","","Mexico",""
"38","Craugastor spatulatus (Smith, 1939)","Mexico","","Mexico",""
"39","Craugastor tarahumaraensis (Taylor, 1940)","Mexico","","Mexico",""
"40","Craugastor taylori (Lynch, 1966)","Mexico","","Mexico",""
"41","Craugastor uno (Savage, 1985)","Mexico","","Mexico",""
"42","Craugastor vocalis (Taylor, 1940)","Mexico","","Mexico",""
"43","Craugastor vulcani (Shannon and Werler, 1955)","Mexico","","Mexico",""
"44","Craugastor xucanebi (Stuart, 1941)","Guatemala, Mexico","","",""
"45","Craugastor yucatanensis (Lynch, 1965)","Mexico","","Mexico",""
"46","Eleutherodactylus albolabris (Taylor, 1943)","Mexico","","Mexico",""
"47","Eleutherodactylus angustidigitorum (Taylor, 1940)","Mexico","","Mexico",""
"48","Eleutherodactylus campi (Stejneger, 1915)","Mexico, United States of America, United States of America - Texas","United States of America, United States of America - Alabama, United States of America - Louisiana, United States of America - Texas","",""
"49","Eleutherodactylus coelum Hernández-Austria, García-Castillo, and Parra-Olea, 2024","Mexico","","Mexico",""
"50","Eleutherodactylus colimotl Grünwald, Reyes-Velasco, Franz-Chávez, Morales-Flores, Ahumada-Carrillo, Jones, and Boissinot, 2018","Mexico","","Mexico",""
"51","Eleutherodactylus cystignathoides (Cope, 1877)","Mexico","","Mexico",""
"52","Eleutherodactylus dennisi (Lynch, 1970)","Mexico","","Mexico",""
"53","Eleutherodactylus dilatus (Davis and Dixon, 1955)","Mexico","","Mexico",""
"54","Eleutherodactylus erendirae Grünwald, Reyes-Velasco, Franz-Chávez, Morales-Flores, Ahumada-Carrillo, Jones, and Boissinot, 2018","Mexico","","Mexico",""
"55","Eleutherodactylus erythrochomus Palacios-Aguilar and Santos-Bibiano, 2020","Mexico","","Mexico",""
"56","Eleutherodactylus floresvillelai Grünwald, Reyes-Velasco, Franz-Chávez, Morales-Flores, Ahumada-Carrillo, Jones, and Boissinot, 2018","Mexico","","Mexico",""
"57","Eleutherodactylus franzi Grünwald, Montaño-Ruvalcaba, Jones, Ahumada-Carrillo, Grünwald, Zheng, Strickland, and Reyes-Velasco, 2023","Mexico","","Mexico",""
"58","Eleutherodactylus grandis (Dixon, 1957)","Mexico","","Mexico",""
"59","Eleutherodactylus grunwaldi Reyes-Velasco, Ahumada-Carrillo, Burkhardt, and Devitt, 2015","Mexico","","Mexico",""
"60","Eleutherodactylus guttilatus (Cope, 1879)","Mexico, United States of America, United States of America - Texas","","",""
"61","Eleutherodactylus humboldti Devitt, Tseng, Taylor-Adair, Koganti, Timugura, and Cannatella, 2023","Mexico","","Mexico",""
"62","Eleutherodactylus interorbitalis (Langebartel and Shannon, 1956)","Mexico","","Mexico",""
"63","Eleutherodactylus jaliscoensis Grünwald, Reyes-Velasco, Franz-Chávez, Morales-Flores, Ahumada-Carrillo, Jones, and Boissinot, 2018","Mexico","","Mexico",""
"64","Eleutherodactylus jamesdixoni Devitt, Tseng, Taylor-Adair, Koganti, Timugura, and Cannatella, 2023","Mexico","","Mexico",""
"65","Eleutherodactylus leprus (Cope, 1879)","Belize, Guatemala, Mexico","","",""
"66","Eleutherodactylus longipes (Baird, 1859)","Mexico","","Mexico",""
"67","Eleutherodactylus maculabialis  Grünwald, Reyes-Velasco, Franz-Chávez, Morales-Flores, Ahumada-Carrillo, Rodriguez, and Jones, 2021","Mexico","","Mexico",""
